keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Vietnam',en,Vietnam,#BBAF86,#BBAF86,2,1.046677690624997e-05
'Hanoi',en,Vietnam,#BBAF86,#BBAF86,2,1.046677690624997e-05
'Democratic Republic of the Congo',en,Democratic Republic of the Congo,#515F21,#515F21,2,1.1895119635819969e-05
'Kinshasa',en,Democratic Republic of the Congo,#515F21,#515F21,2,1.1895119635819969e-05
'Berlin',en,Germany,#BCE01C,#BCE01C,2,1.205866463167858e-05
'Germany',en,Germany,#BCE01C,#BCE01C,2,1.205866463167858e-05
'Ankara',en,Turkey,#15FFAB,#15FFAB,2,1.2147756957980083e-05
'Turkey',en,Turkey,#15FFAB,#15FFAB,2,1.2147756957980083e-05
'Iran',en,Iran,#99D8DB,#99D8DB,2,1.2224898673621722e-05
'Tehran',en,Iran,#99D8DB,#99D8DB,2,1.2224898673621722e-05
'Bangkok',en,Thailand,#5A1038,#5A1038,2,1.4403302020362698e-05
'Thailand',en,Thailand,#5A1038,#5A1038,2,1.4403302020362698e-05
'France',en,France,#EB75BB,#EB75BB,2,1.4928215288271898e-05
'Paris',en,France,#EB75BB,#EB75BB,2,1.4928215288271898e-05
'London',en,United Kingdom,#D6C105,#D6C105,2,1.5040083853881915e-05
'United Kingdom',en,United Kingdom,#D6C105,#D6C105,2,1.5040083853881915e-05
'Italy',en,Italy,#AAC46B,#AAC46B,2,1.6547720822012003e-05
'Rome',en,Italy,#AAC46B,#AAC46B,2,1.6547720822012003e-05
'South Africa',en,South Africa,#F628F6,#F628F6,2,1.7307139877100614e-05
'Pretoria',en,South Africa,#F628F6,#F628F6,2,1.7307139877100614e-05
'Dodoma',en,Tanzania,#1611A4,#1611A4,2,1.7756202649978298e-05
'Tanzania',en,Tanzania,#1611A4,#1611A4,2,1.7756202649978298e-05
'Nay Pyi Taw',en,Myanmar,#681517,#681517,2,1.861906318369782e-05
'Myanmar',en,Myanmar,#681517,#681517,2,1.861906318369782e-05
'South Korea',en,South Korea,#CFD567,#CFD567,2,1.936661261057755e-05
'Seoul',en,South Korea,#CFD567,#CFD567,2,1.936661261057755e-05
'Nairobi',en,Kenya,#058DF0,#058DF0,2,1.9457899041134193e-05
'Kenya',en,Kenya,#058DF0,#058DF0,2,1.9457899041134193e-05
'Colombia',en,Colombia,#A976BC,#A976BC,2,2.0141520364537347e-05
'Bogota',en,Colombia,#A976BC,#A976BC,2,2.0141520364537347e-05
'Madrid',en,Spain,#C353DD,#C353DD,2,2.1402392175336787e-05
'Spain',en,Spain,#C353DD,#C353DD,2,2.1402392175336787e-05
'Kyiv',en,Ukraine,#50F14F,#50F14F,2,2.24102110244075e-05
'Ukraine',en,Ukraine,#50F14F,#50F14F,2,2.24102110244075e-05
'Buenos Aires',en,Argentina,#2F9F4F,#2F9F4F,2,2.247468687254888e-05
