domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
journals.plos.org,0.01720779220779221,0.05647671044541906,0.15746753246753248,0.10055609420769736,2.0
www.americanthinker.com,0.10104166666666665,0.18708866918894068,0.5854166666666667,0.5391689206547424,2.0
www.ansa.it,-0.1875,0.3005203820042827,0.425,0.24748737341529162,2.0
www.breitbart.com,-0.0625,0.08838834764831845,0.1875,0.2651650429449553,2.0
hisugarplum.com,0.4013888888888889,0.29855619650098675,0.6696296296296296,0.10894682258281606,2.0
www.nature.com,0.1143452380952381,0.04032192240337573,0.5496626984126984,0.2161445847412689,2.0
www.livescience.com,0.2546969696969697,0.21877455260347425,0.5028787878787879,0.3576246114546509,2.0
www.foxnews.com,0.17351190476190476,0.2181648898303733,0.5119708994708994,0.004021903649605945,2.0
www.juancole.com,-0.046363636363636364,0.06556808334638894,0.27128787878787874,0.32473343239036745,2.0
www.globalsecurity.org,0.06325757575757575,0.01660629561877497,0.40946969696969693,0.0016070608663331515,2.0
www.nakedcapitalism.com,-0.008977272727272733,0.069264323338955,0.3271590909090909,0.08179939809635291,2.0
www.purewow.com,0.16666666666666666,0.23570226039551584,0.3766666666666667,0.061282587702834145,2.0
weather.com,0.020643939393939395,0.15293862577936312,0.3138888888888889,0.05106882308569515,2.0
www.upi.com,0.095,0.21920310216782976,0.255,0.27577164466275356,2.0
www.thestar.com.my,0.315,0.2616295090390226,0.385,0.1626345596729059,2.0
balloon-juice.com,0.035416666666666666,0.13847507798236555,0.5145833333333333,0.12079740845270186,2.0
www.thejournal.ie,0.09999999999999999,0.10606601717798211,0.49375,0.08544206939337456,2.0
www.theregister.com,-0.08418560606060607,0.2280687212804338,0.33257575757575764,0.10499464326709339,2.0
www.theatlantic.com,0.3236111111111111,0.0019641855032959585,0.49722222222222223,0.03142696805273549,2.0
www.usatoday.com,0.07062500000000001,0.15644737533752365,0.3325,0.13081475451951133,2.0
www.unexplained-mysteries.com,0.0,1.0,0.0,1.0,1.0
www.justjared.com,0.0,1.0,0.0,1.0,1.0
www.today.com,0.0,1.0,0.0,1.0,1.0
www.tmz.com,0.0,1.0,0.0,1.0,1.0
www.joblo.com,0.0,1.0,0.0,1.0,1.0
www.macrumors.com,0.0,1.0,0.0,1.0,1.0
www.marieclaire.com,0.0,1.0,0.0,1.0,1.0
www.mentalfloss.com,0.0,1.0,0.0,1.0,1.0
www.miamiherald.com,0.0,1.0,0.0,1.0,1.0
www.jezebel.com,0.0,1.0,0.0,1.0,1.0
www.jalopnik.com,0.0,1.0,0.0,1.0,1.0
www.nationalgeographic.com,0.0,1.0,0.0,1.0,1.0
www.nbcnews.com,0.0,1.0,0.0,1.0,1.0
www.nbcsports.com,0.0,1.0,0.0,1.0,1.0
www.snopes.com,0.0,1.0,0.0,1.0,1.0
www.soompi.com,0.0,1.0,0.0,1.0,1.0
www.huffpost.com,0.0,1.0,0.0,1.0,1.0
www.scientificamerican.com,0.0,1.0,0.0,1.0,1.0
www.vulture.com,0.0,1.0,0.0,1.0,1.0
www.sciencealert.com,0.0,1.0,0.0,1.0,1.0
www.schneier.com,0.0,1.0,0.0,1.0,1.0
www.rte.ie,0.0,1.0,0.0,1.0,1.0
www.techradar.com,0.0,1.0,0.0,1.0,1.0
www.rockpapershotgun.com,0.0,1.0,0.0,1.0,1.0
www.r-bloggers.com,0.0,1.0,0.0,1.0,1.0
www.notebookcheck.net,0.0,1.0,0.0,1.0,1.0
www.thebrighterside.news,0.0,1.0,0.0,1.0,1.0
www.popsci.com,0.0,1.0,0.0,1.0,1.0
www.vox.com,0.0,1.0,0.0,1.0,1.0
www.pcgamer.com,0.0,1.0,0.0,1.0,1.0
www.ozbargain.com.au,0.0,1.0,0.0,1.0,1.0
www.nybooks.com,0.0,1.0,0.0,1.0,1.0
blog.lyc8503.net,0.0,1.0,0.0,1.0,1.0
www.thenation.com,0.0,1.0,0.0,1.0,1.0
www.globalresearch.ca,0.0,1.0,0.0,1.0,1.0
www.hoover.org,0.0,1.0,0.0,1.0,1.0
financialpost.com,0.0,1.0,0.0,1.0,1.0
twistedsifter.com,0.0,1.0,0.0,1.0,1.0
finance.yahoo.com,0.0,1.0,0.0,1.0,1.0
theweek.com,0.0,1.0,0.0,1.0,1.0
thepointsguy.com,0.0,1.0,0.0,1.0,1.0
tech.slashdot.org,0.0,1.0,0.0,1.0,1.0
screenrant.com,0.0,1.0,0.0,1.0,1.0
researchbuzz.me,0.0,1.0,0.0,1.0,1.0
remembersingapore.org,0.0,1.0,0.0,1.0,1.0
pitchfork.com,0.0,1.0,0.0,1.0,1.0
petapixel.com,0.0,1.0,0.0,1.0,1.0
